road,id,model_type,name,lat,lon,length
N1,1000000,source,source,23.7060278,90.443333,0.0
N1,1000001,link,link 1,23.7060278,90.443333,814.0
N1,1000002,link,link 2,23.7029167,90.4504167,8.000000000000007
N1,1000003,link,link 3,23.7027778,90.4504722,178.00000000000006
N1,1000004,link,link 4,23.7021389,90.4519722,1000.0
N1,1000005,link,link 5,23.6978886,90.4605833,129.9999999999999
N1,1000006,link,link 6,23.6973608,90.4616667,870.0000000000001
N1,1000007,link,link 7,23.693833,90.4691382,1000.0
N1,1000008,link,link 8,23.6936108,90.4787771,174.99999999999983
N1,1000009,link,link 9,23.6938052,90.4805271,825.0000000000002
N1,1000010,link,link 10,23.6947497,90.4884997,1000.0
N1,1000011,link,link 11,23.6959163,90.4981941,1000.0
N1,1000012,link,link 12,23.697333,90.50775,181.00000000000006
N1,1000013,link,link 13,23.6979163,90.5092778,819.0
N1,1000014,link,link 14,23.7020556,90.5157222,10.999999999999233
N1,1000015,bridge,bridge 1,23.7021111,90.5157778,418.000000000001
N1,1000016,bridge,bridge 2,23.7045833,90.5188327,73.99999999999984
N1,1000017,link,link 15,23.7050278,90.5193327,259.9999999999998
N1,1000018,link,link 16,23.7060833,90.5215271,740.0000000000002
N1,1000019,link,link 17,23.7025278,90.5273882,112.0000000000001
N1,1000020,link,link 18,23.7015278,90.5281938,347.999999999999
N1,1000021,link,link 19,23.6998608,90.5307216,414.0000000000015
N1,1000022,link,link 20,23.6974163,90.5337774,125.99999999999945
N1,1000023,link,link 21,23.6966386,90.5348052,381.99999999999966
N1,1000024,link,link 22,23.6943608,90.5376108,428.0000000000008
N1,1000025,link,link 23,23.6922774,90.5410552,183.99999999999926
N1,1000026,link,link 24,23.6918052,90.5426108,247.99999999999932
N1,1000027,bridge,bridge 3,23.6911108,90.5448886,26.000000000001577
N1,1000028,bridge,bridge 4,23.6910552,90.5451386,164.99999999999915
N1,1000029,link,link 25,23.6904163,90.546583,587.9999999999992
N1,1000030,link,link 26,23.6865274,90.5504167,148.00000000000148
N1,1000031,link,link 27,23.6854997,90.5512778,851.9999999999985
N1,1000032,link,link 28,23.678166,90.5556111,1000.0
N1,1000033,link,link 29,23.670916,90.5597778,39.00000000000148
N1,1000034,link,link 30,23.6705827,90.5599722,960.9999999999985
N1,1000035,link,link 31,23.6628333,90.5641111,411.00000000000136
N1,1000036,link,link 32,23.6604167,90.5671104,307.0000000000004
N1,1000037,bridge,bridge 5,23.6591111,90.5697216,160.00000000000014
N1,1000038,bridge,bridge 6,23.6583056,90.5709993,121.99999999999989
N1,1000039,link,link 33,23.6575,90.5719716,306.99999999999864
N1,1000040,bridge,bridge 7,23.6559722,90.5743327,21.000000000000796
N1,1000041,bridge,bridge 8,23.6559167,90.5745271,352.00000000000034
N1,1000042,bridge,bridge 9,23.6540556,90.5772771,30.000000000001137
N1,1000043,bridge,bridge 10,23.6539167,90.5774993,289.99999999999915
N1,1000044,link,link 34,23.6525278,90.5798882,338.99999999999864
N1,1000045,bridge,bridge 11,23.6508889,90.5826382,41.00000000000037
N1,1000046,bridge,bridge 12,23.6506944,90.5829993,620.000000000001
N1,1000047,link,link 35,23.6476108,90.588083,353.9999999999992
N1,1000048,link,link 36,23.6449441,90.5899163,643.0000000000007
N1,1000049,link,link 37,23.6397497,90.5926941,3.0000000000001137
N1,1000050,link,link 38,23.6396941,90.5927219,519.9999999999995
N1,1000051,link,link 39,23.6358608,90.5948052,297.9999999999983
N1,1000052,bridge,bridge 13,23.6341108,90.5970274,100.00000000000142
N1,1000053,bridge,bridge 14,23.6335552,90.5976941,82.00000000000074
N1,1000054,link,link 40,23.6330549,90.5982774,974.9999999999978
N1,1000055,link,link 41,23.6262771,90.6042222,130.00000000000256
N1,1000056,link,link 42,23.6252216,90.6049722,135.99999999999923
N1,1000057,bridge,bridge 15,23.6242216,90.6055278,227.99999999999798
N1,1000058,bridge,bridge 16,23.6224993,90.6066944,259.00000000000034
N1,1000059,bridge,bridge 17,23.6204716,90.6079722,121.99999999999989
N1,1000060,bridge,bridge 18,23.6195271,90.6085833,255.00000000000256
N1,1000061,link,link 43,23.6173604,90.6096944,934.9999999999987
N1,1000062,bridge,bridge 19,23.6095556,90.6121944,65.00000000000128
N1,1000063,link,link 44,23.609,90.6124722,873.9999999999987
N1,1000064,bridge,bridge 20,23.6018611,90.6159722,126.00000000000122
N1,1000065,link,link 45,23.6009444,90.6165556,1000.0
N1,1000066,link,link 46,23.5959997,90.624666,9.99999999999801
N1,1000067,link,link 47,23.5959441,90.6246938,673.9999999999995
N1,1000068,link,link 48,23.5917497,90.6293327,316.0000000000025
N1,1000069,link,link 49,23.5896108,90.6313882,873.9999999999987
N1,1000070,bridge,bridge 21,23.5837497,90.6369441,126.00000000000122
N1,1000071,link,link 50,23.5828327,90.6378886,38.999999999997925
N1,1000072,bridge,bridge 22,23.5825827,90.6381386,656.0000000000024
N1,1000073,bridge,bridge 23,23.577916,90.6419719,38.999999999997925
N1,1000074,bridge,bridge 24,23.5776104,90.6421108,396.0000000000008
N1,1000075,link,link 51,23.5745271,90.6436941,307.99999999999983
N1,1000076,bridge,bridge 25,23.572166,90.6451108,45.999999999999375
N1,1000077,bridge,bridge 26,23.5718327,90.6453052,646.0000000000008
N1,1000078,link,link 52,23.5666111,90.6481663,367.9999999999985
N1,1000079,bridge,bridge 27,23.5639167,90.6501944,38.000000000000256
N1,1000080,bridge,bridge 28,23.5636944,90.6504722,532.0
N1,1000081,bridge,bridge 29,23.5604167,90.6542222,38.000000000000256
N1,1000082,bridge,bridge 30,23.5602222,90.6545,39.00000000000148
N1,1000083,link,link 53,23.5599722,90.6548056,161.99999999999903
N1,1000084,link,link 54,23.5590278,90.6559444,411.99999999999903
N1,1000085,bridge,bridge 31,23.5564444,90.6588611,40.0000000000027
