,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
0,Truck0,1000022,C,397.0,11,174.29457085099452,163.29457085099452
1,Truck1,1000022,C,397.0,16,149.8061174544405,133.8061174544405
2,Truck2,1000022,C,397.0,21,148.32209405658932,127.32209405658931
3,Truck3,1000022,C,397.0,26,117.12831066460625,91.12831066460625
4,Truck4,1000022,C,397.0,31,140.6009491799763,109.60094917997631
5,Truck5,1000022,C,397.0,36,193.55478199368318,157.55478199368318
6,Truck6,1000022,C,397.0,41,196.03147594493524,155.03147594493524
7,Truck7,1000022,C,397.0,46,172.72423393035106,126.72423393035106
8,Truck8,1000022,C,397.0,51,177.80688876956287,126.80688876956287
9,Truck9,1000022,C,397.0,56,165.2255128379386,109.2255128379386
10,Truck10,1000022,C,397.0,61,132.78586009128173,71.78586009128175
11,Truck11,1000022,C,397.0,66,156.4228763860434,90.4228763860434
12,Truck12,1000022,C,397.0,71,172.42097065681858,101.42097065681858
13,Truck13,1000022,C,397.0,76,159.32378506774648,83.32378506774648
14,Truck14,1000022,C,397.0,81,212.78477136571297,131.78477136571297
15,Truck15,1000022,C,397.0,86,231.04717310849048,145.04717310849048
16,Truck16,1000022,C,397.0,91,242.7972188304558,151.7972188304558
17,Truck17,1000022,C,397.0,96,188.9572930428484,92.95729304284839
18,Truck18,1000022,C,397.0,101,231.08837717820313,130.08837717820313
19,Truck19,1000022,C,397.0,106,231.50428853057997,125.50428853057997
20,Truck20,1000022,C,397.0,111,220.3506495132442,109.3506495132442
21,Truck21,1000022,C,397.0,116,261.9956105435848,145.9956105435848
22,Truck3,1000035,A,6.3,121,135.02157940633933,14.021579406339335
23,Truck22,1000022,C,397.0,121,251.67465081565388,130.67465081565388
24,Truck23,1000022,C,397.0,126,263.18415316060134,137.18415316060134
25,Truck24,1000022,C,397.0,131,279.2074141264038,148.20741412640382
26,Truck10,1000035,A,6.3,136,148.94909165650276,12.94909165650277
27,Truck25,1000022,C,397.0,136,262.8938056906206,126.89380569062058
28,Truck3,1000046,A,9.3,137,154.78580434196064,17.78580434196063
29,Truck26,1000022,C,397.0,141,292.09735741698034,151.09735741698037
30,Truck4,1000035,A,6.3,144,158.27819709301087,14.278197093010862
31,Truck27,1000022,C,397.0,146,228.6447661048444,82.6447661048444
32,Truck10,1000046,A,9.3,150,169.82237567624583,19.82237567624582
33,Truck28,1000022,C,397.0,151,270.1368383045682,119.13683830456819
34,Truck2,1000035,A,6.3,152,165.73539605215132,13.735396052151305
35,Truck1,1000035,A,6.3,153,171.80519634824523,18.805196348245232
36,Truck3,1000048,A,6.1,155,166.9949070152445,11.994907015244515
37,Truck29,1000022,C,397.0,156,301.15506495175856,145.15506495175856
38,Truck4,1000046,A,9.3,160,177.13513414183095,17.135134141830957
39,Truck11,1000035,A,6.3,160,177.48757445691166,17.487574456911666
40,Truck30,1000022,C,397.0,161,316.05793317666274,155.05793317666274
41,Truck13,1000035,A,6.3,163,180.0986111825535,17.09861118255349
42,Truck31,1000022,C,397.0,166,252.51527359673304,86.51527359673305
43,Truck2,1000046,A,9.3,167,181.7607329614092,14.760732961409186
44,Truck3,1000051,A,27.5,167,205.54634826420124,38.54634826420123
45,Truck9,1000035,A,6.3,169,179.80727179097394,10.807271790973946
46,Truck10,1000048,A,6.1,170,180.7513756209633,10.751375620963287
47,Truck32,1000022,C,397.0,171,321.2101899217369,150.2101899217369
48,Truck1,1000046,A,9.3,173,185.2851238794741,12.285123879474089
49,Truck7,1000035,A,6.3,176,188.872345790191,12.872345790190977
50,Truck12,1000035,A,6.3,176,188.44453654365066,12.444536543650644
51,Truck33,1000022,C,397.0,176,316.53226009302983,140.53226009302983
52,Truck0,1000035,A,6.3,178,189.8833312696283,11.883331269628272
53,Truck4,1000048,A,6.1,178,188.56654766444763,10.566547664447617
54,Truck11,1000046,A,9.3,179,194.43774444191084,15.43774444191083
55,Truck8,1000035,A,6.3,181,193.0939237318632,12.093923731863205
56,Truck9,1000046,A,9.3,181,191.79688982257403,10.796889822574045
57,Truck10,1000051,A,27.5,181,219.43422325762754,38.434223257627536
58,Truck34,1000022,C,397.0,181,271.34116568421274,90.34116568421275
59,Truck2,1000048,A,6.1,182,197.81585228985097,15.815852289850962
60,Truck13,1000046,A,9.3,182,194.42342101465104,12.42342101465104
61,Truck1,1000048,A,6.1,186,202.25282445879256,16.252824458792567
62,Truck35,1000022,C,397.0,186,287.66934838037514,101.66934838037511
63,Truck4,1000051,A,27.5,189,234.80438320111037,45.80438320111037
64,Truck7,1000046,A,9.3,190,201.00700138790694,11.007001387906929
65,Truck12,1000046,A,9.3,190,200.13410095305633,10.134100953056336
66,Truck0,1000046,A,9.3,191,208.44082660502198,17.440826605021982
67,Truck36,1000022,C,397.0,191,284.1077449257048,93.10774492570482
68,Truck9,1000048,A,6.1,192,202.10165449409442,10.101654494094433
69,Truck17,1000035,A,6.3,192,211.11528873107054,19.115288731070542
70,Truck8,1000046,A,9.3,195,210.86333798409157,15.863337984091569
71,Truck11,1000048,A,6.1,195,214.80419809589839,19.80419809589838
72,Truck13,1000048,A,6.1,195,213.74448946843725,18.74448946843725
73,Truck37,1000022,C,397.0,196,342.8224816626636,146.82248166266362
74,Truck5,1000035,A,6.3,197,211.65878030628537,14.658780306285365
75,Truck2,1000051,A,27.5,198,232.20370186796848,34.203701867968476
76,Truck6,1000035,A,6.3,200,214.0417528426894,14.041752842689382
77,Truck12,1000048,A,6.1,201,211.56073726966852,10.560737269668534
78,Truck38,1000022,C,397.0,201,316.9041466985673,115.9041466985673
79,Truck7,1000048,A,6.1,202,216.01370225776768,14.01370225776768
80,Truck1,1000051,A,27.5,203,227.9508035830591,24.950803583059084
81,Truck9,1000051,A,27.5,203,246.15465413154766,43.15465413154765
82,Truck3,1000055,A,27.5,206,233.24080470765867,27.240804707658675
83,Truck39,1000022,C,397.0,206,346.423763470627,140.42376347062702
84,Truck0,1000048,A,6.1,209,221.44174256819412,12.441742568194108
85,Truck8,1000048,A,6.1,211,228.97326077810442,17.97326077810441
86,Truck40,1000022,C,397.0,211,368.5929115628,157.5929115628
87,Truck12,1000051,A,27.5,212,229.94776715416782,17.947767154167813
88,Truck5,1000046,A,9.3,213,230.41074169761654,17.410741697616555
89,Truck17,1000046,A,9.3,213,230.98600223082803,17.986002230828024
90,Truck13,1000051,A,27.5,214,272.60480944816123,58.604809448161255
91,Truck11,1000051,A,27.5,215,263.31537598363593,48.31537598363593
92,Truck6,1000046,A,9.3,216,232.1915052333233,16.191505233323312
93,Truck14,1000035,A,6.3,216,231.16186872838878,15.161868728388791
94,Truck41,1000022,C,397.0,216,302.39867215400864,86.39867215400866
95,Truck7,1000051,A,27.5,217,268.0455668646728,51.045566864672836
96,Truck10,1000055,A,27.5,220,258.99525799497707,38.99525799497708
97,Truck42,1000022,C,397.0,221,315.08707090318273,94.08707090318276
98,Truck0,1000051,A,27.5,222,262.691368839922,40.69136883992199
99,Truck20,1000035,A,6.3,224,241.6860909394041,17.68609093940409
100,Truck43,1000022,C,397.0,226,366.1550329793972,140.15503297939722
101,Truck1,1000055,A,27.5,228,244.92555047321662,16.925550473216607
102,Truck8,1000051,A,27.5,229,283.92211331963375,54.922113319633766
103,Truck12,1000055,A,27.5,230,278.96157022012494,48.96157022012492
104,Truck5,1000048,A,6.1,231,243.00575139185378,12.005751391853765
105,Truck17,1000048,A,6.1,231,249.09267739100818,18.09267739100817
106,Truck44,1000022,C,397.0,231,357.63941889179426,126.63941889179425
107,Truck27,1000035,A,6.3,232,244.46941165279787,12.469411652797874
108,Truck2,1000055,A,27.5,233,251.56446480240925,18.56446480240924
109,Truck6,1000048,A,6.1,233,243.15236444125708,10.152364441257086
110,Truck14,1000046,A,9.3,233,244.38776389848533,11.387763898485323
111,Truck4,1000055,A,27.5,235,294.0786700497628,59.078670049762835
112,Truck15,1000035,A,6.3,235,253.5239481003304,18.523948100330387
113,Truck18,1000035,A,6.3,235,252.38447573229803,17.384475732298025
114,Truck19,1000035,A,6.3,235,253.57828483043488,18.578284830434878
115,Truck45,1000022,C,397.0,236,371.92400174949853,135.92400174949853
116,Truck46,1000022,C,397.0,241,314.2850564470078,73.28505644700776
