,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
0,Truck70560,1000267,C,4.5,73,84.1807097923614,11.180709792361395
1,Truck70561,1000267,C,4.5,78,93.80078033021206,15.800780330212064
2,Truck70562,1000267,C,4.5,83,99.46053273024941,16.46053273024942
3,Truck70563,1000267,C,4.5,88,99.3361376027543,11.336137602754306
4,Truck70564,1000267,C,4.5,93,107.16553415630354,14.16553415630354
5,Truck70565,1000267,C,4.5,98,113.96229473914723,15.962294739147229
6,Truck70566,1000267,C,4.5,103,118.78871766072893,15.788717660728928
7,Truck70567,1000267,C,4.5,108,125.80858053541206,17.808580535412055
8,Truck70568,1000267,C,4.5,113,131.92454273521915,18.92454273521914
9,Truck70569,1000267,C,4.5,118,128.8846822566709,10.884682256670912
10,Truck70570,1000267,C,4.5,123,134.00680465500838,11.006804655008386
11,Truck70571,1000267,C,4.5,128,140.69888220070783,12.69888220070782
12,Truck70572,1000267,C,4.5,133,152.42126655319746,19.421266553197448
13,Truck70573,1000267,C,4.5,138,154.70353586664788,16.703535866647893
14,Truck70560,1000393,C,27.35,141,171.25719467037783,30.25719467037784
15,Truck70574,1000267,C,4.5,143,157.60437569532507,14.604375695325077
16,Truck70575,1000267,C,4.5,148,159.86709367946239,11.86709367946239
17,Truck70561,1000393,C,27.35,150,206.23649943949948,56.23649943949947
18,Truck70576,1000267,C,4.5,153,170.50247570166067,17.502475701660664
19,Truck70562,1000393,C,27.35,156,181.77828335844572,25.77828335844572
20,Truck70563,1000393,C,27.35,156,208.39417753477204,52.394177534772055
21,Truck70577,1000267,C,4.5,158,169.62978416641855,11.629784166418558
22,Truck70578,1000267,C,4.5,163,179.89376947320247,16.893769473202468
23,Truck70564,1000393,C,27.35,164,191.86532070707239,27.865320707072378
24,Truck70579,1000267,C,4.5,168,181.1267471178768,13.12674711787678
25,Truck70565,1000393,C,27.35,170,208.42255530631982,38.42255530631982
26,Truck70580,1000267,C,4.5,173,187.07990941579487,14.079909415794873
27,Truck70566,1000393,C,27.35,175,234.63979629217403,59.63979629217401
28,Truck70581,1000267,C,4.5,178,193.54417833201614,15.544178332016145
29,Truck70567,1000393,C,27.35,182,207.27665111931873,25.276651119318714
30,Truck70582,1000267,C,4.5,183,198.72465130127176,15.72465130127176
31,Truck70569,1000393,C,27.35,185,205.52035576737114,20.52035576737114
32,Truck70568,1000393,C,27.35,188,214.39143719749862,26.39143719749861
33,Truck70583,1000267,C,4.5,188,202.83879804100872,14.838798041008712
34,Truck70570,1000393,C,27.35,191,206.98021802825795,15.980218028257964
35,Truck70584,1000267,C,4.5,193,205.5727420233481,12.572742023348109
36,Truck70571,1000393,C,27.35,197,232.02162671881806,35.02162671881805
37,Truck70585,1000267,C,4.5,198,212.81330952058525,14.813309520585243
38,Truck70586,1000267,C,4.5,203,219.51985988979575,16.51985988979575
39,Truck70587,1000267,C,4.5,208,221.1752914404317,13.175291440431684
40,Truck70572,1000393,C,27.35,209,229.23886489359612,20.238864893596105
41,Truck70573,1000393,C,27.35,211,228.90816450628705,17.908164506287054
42,Truck70588,1000267,C,4.5,213,224.14373345261623,11.143733452616244
43,Truck70574,1000393,C,27.35,214,243.52776269183047,29.527762691830475
44,Truck70575,1000393,C,27.35,216,262.063264284926,46.06326428492597
45,Truck70589,1000267,C,4.5,218,232.24788560193315,14.247885601933138
46,Truck70590,1000267,C,4.5,223,240.58279558306768,17.58279558306767
47,Truck70577,1000393,C,27.35,226,253.44276130407044,27.442761304070455
48,Truck70576,1000393,C,27.35,227,252.84644424026158,25.846444240261583
49,Truck70591,1000267,C,4.5,228,238.71791095183318,10.717910951833183
50,Truck70592,1000267,C,4.5,233,243.1457686935733,10.145768693573313
51,Truck70578,1000393,C,27.35,236,268.4961661811525,32.49616618115246
52,Truck70579,1000393,C,27.35,238,286.48582069286346,48.48582069286347
53,Truck70593,1000267,C,4.5,238,249.5121406506255,11.51214065062551
54,Truck70594,1000267,C,4.5,243,257.77628995452204,14.776289954522035
55,Truck70580,1000393,C,27.35,244,288.13744242708333,44.137442427083315
56,Truck70595,1000267,C,4.5,248,264.52063068576575,16.520630685765745
57,Truck70581,1000393,C,27.35,250,283.1510667386185,33.151066738618525
58,Truck70596,1000267,C,4.5,253,263.29078434200574,10.29078434200576
59,Truck70582,1000393,C,27.35,255,303.62945663272086,48.629456632720874
60,Truck70597,1000267,C,4.5,258,270.5144081003749,12.51440810037489
61,Truck70583,1000393,C,27.35,259,311.1143929666909,52.114392966690886
62,Truck70584,1000393,C,27.35,262,309.3169580569944,47.3169580569944
63,Truck70598,1000267,C,4.5,263,281.541247570465,18.541247570464947
64,Truck70599,1000267,C,4.5,268,280.5985982402121,12.598598240212102
65,Truck70585,1000393,C,27.35,269,315.6625465977902,46.66254659779018
66,Truck70600,1000267,C,4.5,273,290.60942432668355,17.609424326683538
67,Truck70586,1000393,C,27.35,276,324.88758567320144,48.88758567320144
68,Truck70587,1000393,C,27.35,278,321.48836077991825,43.488360779918224
69,Truck70601,1000267,C,4.5,278,296.8835164368371,18.883516436837123
70,Truck70588,1000393,C,27.35,281,331.37278286110524,50.37278286110522
71,Truck70602,1000267,C,4.5,283,295.930420912039,12.930420912038992
72,Truck70603,1000267,C,4.5,288,303.34619404315583,15.346194043155853
73,Truck70589,1000393,C,27.35,289,324.008710104224,35.008710104223994
74,Truck70604,1000267,C,4.5,293,304.1676290358114,11.167629035811387
75,Truck70591,1000393,C,27.35,295,335.73693814701153,40.73693814701151
76,Truck70590,1000393,C,27.35,297,314.90430088423335,17.904300884233354
77,Truck70605,1000267,C,4.5,298,310.6023364013225,12.602336401322491
78,Truck70592,1000393,C,27.35,300,349.7194933372334,49.7194933372334
79,Truck70606,1000267,C,4.5,303,315.21670541662405,12.216705416624066
80,Truck70593,1000393,C,27.35,306,333.11307603520004,27.113076035200052
81,Truck70607,1000267,C,4.5,308,325.4807030348515,17.480703034851516
82,Truck70608,1000267,C,4.5,313,323.37797424316153,10.377974243161507
83,Truck70594,1000393,C,27.35,314,347.66250670953286,33.66250670953285
84,Truck70609,1000267,C,4.5,318,331.91472687889853,13.914726878898513
85,Truck70560,1000935,C,27.0,319,354.9275506887317,35.927550688731706
86,Truck70596,1000393,C,27.35,320,363.97696175764486,43.97696175764483
87,Truck70595,1000393,C,27.35,321,378.6688955358955,57.66889553589548
88,Truck70610,1000267,C,4.5,323,338.0397771267352,15.03977712673518
89,Truck70597,1000393,C,27.35,327,369.36879945174326,42.36879945174323
90,Truck70611,1000267,C,4.5,328,342.0510991684218,14.051099168421771
91,Truck70562,1000935,C,27.0,329,362.0847592536302,33.08475925363015
92,Truck70612,1000267,C,4.5,333,350.63949470051165,17.639494700511623
93,Truck70599,1000393,C,27.35,337,374.8841757197464,37.884175719746416
94,Truck70598,1000393,C,27.35,338,380.6969488264181,42.69694882641814
95,Truck70613,1000267,C,4.5,338,356.3073800883076,18.30738008830756
96,Truck70564,1000935,C,27.0,339,386.12375449904584,47.123754499045866
97,Truck70614,1000267,C,4.5,343,358.5726845462728,15.572684546272816
98,Truck70600,1000393,C,27.35,347,371.58164734343103,24.581647343431012
99,Truck70615,1000267,C,4.5,348,358.6005001760794,10.600500176079379
100,Truck70602,1000393,C,27.35,352,369.1886141447943,17.188614144794286
101,Truck70569,1000935,C,27.0,353,374.2949595346972,21.29495953469721
102,Truck70601,1000393,C,27.35,353,385.80526544000486,32.805265440004874
103,Truck70616,1000267,C,4.5,353,372.5516545364625,19.551654536462493
104,Truck70561,1000935,C,27.0,354,385.7985162466413,31.79851624664133
105,Truck70570,1000935,C,27.0,354,397.1830041243434,43.18300412434344
106,Truck70567,1000935,C,27.0,355,377.0433634158408,22.043363415840837
107,Truck70563,1000935,C,27.0,356,387.30551782229696,31.30551782229697
108,Truck70565,1000935,C,27.0,356,397.6275045744756,41.627504574475616
109,Truck70617,1000267,C,4.5,358,368.48279532144454,10.482795321444534
110,Truck70603,1000393,C,27.35,360,414.6047567537787,54.604756753778716
111,Truck70604,1000393,C,27.35,361,396.387233720929,35.38723372092899
112,Truck70568,1000935,C,27.0,362,395.41854642341866,33.418546423418675
113,Truck70618,1000267,C,4.5,363,375.91424756120716,12.914247561207146
114,Truck70605,1000393,C,27.35,367,422.98092346950995,55.98092346950994
115,Truck70619,1000267,C,4.5,368,386.88699663306113,18.88699663306113
116,Truck70606,1000393,C,27.35,372,389.4303272503726,17.430327250372628
